time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140525:0200,21.32,59.2,0,0,0,336.1,6.19,57,99281
20140525:0300,20.98,59.08,0,0,0,330.2,5.48,56,99341
20140525:0400,20.63,58.97,0,0,0,324.3,4.77,56,99400
20140525:0500,20.29,58.85,71,201.04,46,318.4,4.06,55,99459
20140525:0600,22.19,51.69,264,444.07,118,324.98,4.34,51,99508
20140525:0700,24.09,44.52,481,614.44,159,331.57,4.62,47,99558
20140525:0800,25.99,37.36,695,763.43,163,338.15,4.9,43,99607
20140525:0900,27.69,32.67,857,807.97,182,348.75,4.55,44,99577
20140525:1000,29.4,27.99,972,841.65,189,359.35,4.2,45,99548
20140525:1100,31.1,23.3,1069,986.62,107,369.95,3.85,46,99518
20140525:1200,31.88,22.33,1041,929.05,143,373.2,3.28,46,99502
20140525:1300,32.66,21.35,980,958.59,112,376.45,2.72,46,99485
20140525:1400,33.44,20.38,784,711.09,218,379.7,2.15,46,99469
20140525:1500,33.12,20.95,630,725.11,162,376.2,1.97,41,99488
20140525:1600,32.79,21.51,409,555.85,151,372.7,1.78,35,99508
20140525:1700,32.47,22.08,202,400.76,96,369.2,1.6,29,99528
20140525:1800,30.84,24.73,27,133.17,19,366.2,1.91,28,99600
20140525:1900,29.2,27.39,0,0,0,363.2,2.23,27,99673
20140525:2000,27.57,30.04,0,0,0,360.2,2.54,26,99745
20140525:2100,26.86,32.05,0,0,0,357.42,2.76,30,99761
20140525:2200,26.16,34.07,0,0,0,354.63,2.99,34,99778
20140525:2300,25.45,36.08,0,0,0,351.85,3.21,39,99794
20140526:0000,24.77,39.1,0,0,0,349.42,4.48,49,99801
20140526:0100,24.08,42.13,0,0,0,346.98,5.74,58,99807
20140526:0200,23.4,45.15,0,0,0,344.55,7.01,68,99814
20140526:0300,22.95,48.23,0,0,0,342.28,7.18,71,99873
20140526:0400,22.51,51.32,0,0,0,340.02,7.35,74,99932
20140526:0500,22.06,54.4,42,23.88,39,337.75,7.52,77,99991
20140526:0600,23.72,48.13,235,291.05,139,341.88,7.58,79,100008
20140526:0700,25.37,41.85,461,529.62,183,346.02,7.65,82,100024
20140526:0800,27.03,35.58,678,699.58,190,350.15,7.71,84,100041
20140526:0900,29,30.48,831,726.05,224,358.58,7.05,85,99965
20140526:1000,30.98,25.37,957,798.17,214,367.02,6.4,86,99890
20140526:1100,32.96,20.27,1070,986.01,108,375.45,5.74,88,99814
20140526:1200,33.85,18.96,996,795,227,379.25,5.36,88,99745
20140526:1300,34.75,17.66,918,761.28,228,383.05,4.97,89,99676
20140526:1400,35.64,16.35,801,764.09,192,386.85,4.59,90,99607
20140526:1500,35.06,16.93,631,725.19,162,382.27,4.59,82,99587
20140526:1600,34.48,17.5,415,577.61,146,377.68,4.59,74,99567
20140526:1700,33.9,18.08,200,383,98,373.1,4.59,65,99548
20140526:1800,32.38,21.02,24,80.48,19,370.47,5.02,66,99607
20140526:1900,30.86,23.97,0,0,0,367.83,5.44,66,99666
20140526:2000,29.33,26.91,0,0,0,365.2,5.86,66,99725
20140526:2100,28.27,30.97,0,0,0,363.52,6.46,70,99709
20140526:2200,27.22,35.03,0,0,0,361.83,7.07,75,99692
20140526:2300,26.16,39.09,0,0,0,360.15,7.67,80,99676
20140527:0000,25.07,43.6,0,0,0,356.87,8.1,78,99702
20140527:0100,23.98,48.1,0,0,0,353.58,8.53,77,99728
20140527:0200,22.9,52.61,0,0,0,350.3,8.97,76,99755
20140527:0300,22.37,52.6,0,0,0,349.55,8.57,77,99784
20140527:0400,21.83,52.59,0,0,0,348.8,8.18,79,99814
20140527:0500,21.3,52.58,71,181.29,48,348.05,7.79,80,99844
20140527:0600,22.94,46.52,282,544.09,102,353.23,8.19,82,99867
20140527:0700,24.59,40.47,182,3.8,180,358.42,8.59,84,99890
20140527:0800,26.23,34.41,618,504.15,266,363.6,8.99,85,99913
20140527:0900,28.04,29.88,596,210.38,420,374.58,7.94,88,99844
20140527:1000,29.85,25.36,888,613.05,317,385.57,6.89,91,99774
20140527:1100,31.66,20.83,757,280.67,483,396.55,5.83,94,99705
20140527:1200,32.3,20.62,449,22.73,427,408.33,5.53,100,99663
20140527:1300,32.93,20.4,293,1.1,292,420.12,5.23,106,99620
20140527:1400,33.57,20.19,72,0,72,431.9,4.92,113,99577
20140527:1500,33.22,20.71,169,0,169,428.4,4.11,114,99541
20140527:1600,32.88,21.24,181,12.84,175,424.9,3.31,115,99505
20140527:1700,32.53,21.76,101,18.65,96,421.4,2.5,117,99469
20140527:1800,31.39,24,3,0,3,417.42,4.34,110,99505
20140527:1900,30.25,26.24,0,0,0,413.43,6.18,103,99541
20140527:2000,29.11,28.48,0,0,0,409.45,8.03,96,99577
20140527:2100,28.48,32.37,0,0,0,407.77,8.05,102,99538
20140527:2200,27.85,36.25,0,0,0,406.08,8.07,108,99498
20140527:2300,27.22,40.14,0,0,0,404.4,8.1,114,99459
20140528:0000,24.94,44.9,0,0,0,391.2,8.22,95,99498
20140528:0100,22.66,49.67,0,0,0,378,8.34,76,99538
20140528:0200,20.38,54.43,0,0,0,364.8,8.47,57,99577
20140528:0300,20,54.91,0,0,0,360.8,8.11,56,99597
20140528:0400,19.61,55.38,0,0,0,356.8,7.75,55,99617
20140528:0500,19.23,55.86,73,195.31,48,352.8,7.39,55,99636
20140528:0600,21.04,49.32,267,446.14,119,352.28,7.03,53,99656
20140528:0700,22.86,42.77,480,604.08,162,351.77,6.66,50,99676
20140528:0800,24.67,36.23,707,804.25,145,351.25,6.29,48,99696
20140528:0900,26.16,31.96,871,850.57,159,357.92,5.75,43,99659
20140528:1000,27.65,27.68,992,900.31,153,364.58,5.2,37,99623
20140528:1100,29.14,23.41,1048,916.29,153,371.25,4.66,31,99587
20140528:1200,29.57,22.56,1043,929.15,143,370,4.34,18,99584
20140528:1300,30.01,21.7,948,846.89,179,368.75,4.01,4,99581
20140528:1400,30.44,20.85,819,819.67,164,367.5,3.68,351,99577
20140528:1500,30.18,22.28,643,763.92,147,365.23,3.62,350,99594
20140528:1600,29.91,23.71,427,622.9,135,362.97,3.55,349,99610
20140528:1700,29.65,25.14,207,407.6,97,360.7,3.49,348,99627
20140528:1800,28.37,27.82,30,120.96,22,359.32,2.78,355,99709
20140528:1900,27.08,30.51,0,0,0,357.93,2.06,2,99791
20140528:2000,25.8,33.19,0,0,0,356.55,1.35,8,99873
20140528:2100,24.92,35.08,0,0,0,354.4,2.64,11,99880
20140528:2200,24.06,36.97,0,0,0,352.25,3.93,14,99886
20140528:2300,23.18,38.86,0,0,0,350.1,5.21,17,99893
20140529:0000,22.43,43.39,0,0,0,349.85,4.11,35,99899
20140529:0100,21.68,47.92,0,0,0,349.6,3,52,99906
20140529:0200,20.93,52.45,0,0,0,349.35,1.89,70,99913
20140529:0300,20.67,52.49,0,0,0,346.6,2.03,63,99965
20140529:0400,20.41,52.54,0,0,0,343.85,2.17,56,100018
20140529:0500,20.15,52.58,77,224.72,48,341.1,2.32,49,100070
20140529:0600,21.51,47.82,277,499.15,111,345.75,1.95,41,100097
20140529:0700,22.86,43.06,489,637.48,153,350.4,1.59,34,100123
20140529:0800,24.22,38.3,707,803.65,145,355.05,1.23,26,100149
20140529:0900,25.24,34.86,871,850.1,159,362.45,1.58,8,100110
20140529:1000,26.25,31.43,988,885.93,162,369.85,1.94,350,100070
20140529:1100,27.27,27.99,1038,885.11,173,377.25,2.29,332,100031
20140529:1200,27.94,26.48,1028,883.16,172,375.63,2.74,330,100001
20140529:1300,28.6,24.96,939,817.54,196,374.02,3.18,329,99972
20140529:1400,29.27,23.45,820,819.88,164,372.4,3.63,327,99942
20140529:1500,29.28,23.43,641,751.7,152,368.03,3.58,332,99949
20140529:1600,29.28,23.42,426,612.42,138,363.67,3.54,338,99955
20140529:1700,29.29,23.4,207,401.32,98,359.3,3.49,343,99962
20140529:1800,27.79,25.61,29,102.81,22,356.75,2.89,360,100028
20140529:1900,26.29,27.81,0,0,0,354.2,2.29,16,100093
20140529:2000,24.8,30.02,0,0,0,351.65,1.7,33,100159
20140529:2100,23.97,31.19,0,0,0,349.33,1.66,34,100159
20140529:2200,23.15,32.36,0,0,0,347.02,1.63,34,100159
20140529:2300,22.33,33.53,0,0,0,344.7,1.6,35,100159
20140530:0000,21.39,35.8,0,0,0,341.9,1.99,57,100143
20140530:0100,20.46,38.08,0,0,0,339.1,2.38,79,100126
20140530:0200,19.53,40.35,0,0,0,336.3,2.77,100,100110
20140530:0300,19.7,40.08,0,0,0,335.2,2.88,67,100149
20140530:0400,19.86,39.8,0,0,0,334.1,2.98,34,100189
20140530:0500,20.03,39.53,80,253.81,47,333,3.09,0,100228
20140530:0600,22.15,35.31,282,528.01,106,340.8,3.32,7,100254
20140530:0700,24.28,31.09,494,661.41,145,348.6,3.55,14,100281
20140530:0800,26.4,26.87,711,817.4,139,356.4,3.78,21,100307
20140530:0900,27.3,24.73,871,849.69,159,364.38,3.4,9,100261
20140530:1000,28.2,22.6,983,870.53,171,372.37,3.03,358,100215
20140530:1100,29.1,20.46,1038,885.7,172,380.35,2.65,347,100169
20140530:1200,29.89,19.35,1028,882.61,172,380.63,2.74,340,100113
20140530:1300,30.68,18.24,935,803.65,204,380.92,2.82,334,100057
20140530:1400,31.47,17.13,817,806.39,171,381.2,2.91,328,100001
20140530:1500,31.47,17.99,643,751.82,153,377.05,2.46,345,99975
20140530:1600,31.47,18.84,426,602.03,142,372.9,2.02,2,99949
20140530:1700,31.47,19.7,211,417.11,97,368.75,1.57,19,99922
20140530:1800,30.07,21.24,32,128.57,23,365.15,1.96,44,99959
20140530:1900,28.67,22.77,0,0,0,361.55,2.35,70,99995
20140530:2000,27.26,24.31,0,0,0,357.95,2.74,95,100031
20140530:2100,26.68,24.96,0,0,0,356.75,3.41,106,99975
20140530:2200,26.1,25.62,0,0,0,355.55,4.08,117,99919
20140530:2300,25.51,26.27,0,0,0,354.35,4.74,128,99863
20140531:0000,24.87,26.88,0,0,0,351.45,4.74,133,99827
20140531:0100,24.22,27.5,0,0,0,348.55,4.74,138,99791
20140531:0200,23.58,28.11,0,0,0,345.65,4.73,143,99755
20140531:0300,23.6,28.02,0,0,0,344.72,4.68,146,99768
20140531:0400,23.61,27.93,0,0,0,343.78,4.62,149,99781
20140531:0500,23.63,27.84,77,213.9,49,342.85,4.57,152,99794
20140531:0600,25.82,24.66,278,499.99,111,349.15,5.12,155,99797
20140531:0700,28.02,21.47,487,626.68,156,355.45,5.67,159,99801
20140531:0800,30.21,18.29,690,736.94,174,361.75,6.22,163,99804
20140531:0900,31.73,16.38,823,699.02,237,369.52,6.06,170,99735
20140531:1000,33.25,14.48,983,870.18,171,377.28,5.9,177,99666
20140531:1100,34.77,12.57,1039,885.3,173,385.05,5.74,184,99597
20140531:1200,35.59,12.42,998,794.49,227,387.95,5.63,192,99511
20140531:1300,36.41,12.26,785,430.6,393,390.85,5.53,200,99426
20140531:1400,37.23,12.11,562,199.48,402,393.75,5.42,209,99341
20140531:1500,36.16,13.09,592,562.06,225,391.35,4.74,203,99311
20140531:1600,33.27,15.16,286,133.14,223,392.36,2.89,197,99281
20140531:1700,32.51,16.99,228,527.31,83,390.04,3.17,191,99252
20140531:1800,31.76,18.82,25,41.74,22,387.73,3.45,165,99281
20140531:1900,31.01,20.65,0,0,0,385.41,3.73,138,99311
20140531:2000,30.26,22.48,0,0,0,383.1,4,112,99341
20140531:2100,29.5,24.3,0,0,0,380.78,4.28,106,99324
20140531:2200,28.75,26.13,0,0,0,378.47,4.56,100,99308
20140531:2300,28,27.96,0,0,0,376.15,4.84,94,99291
20120601:0000,27.25,29.79,0,0,0,373.84,5.12,85,100205
20120601:0100,26.49,31.62,0,0,0,371.52,5.4,86,100222
20120601:0200,25.74,33.45,0,0,0,369.21,5.68,87,100238
20120601:0300,24.99,35.27,0,0,0,366.89,5.96,89,100268
20120601:0400,24.24,37.1,0,0,0,364.58,6.23,91,100297
20120601:0500,23.48,38.93,35,7.59,34,362.26,6.51,93,100327
20120601:0600,22.73,40.76,271,448.27,121,359.94,6.79,93,100350
20120601:0700,21.98,42.59,179,3.78,177,357.63,7.07,93,100373
20120601:0800,27.89,25.79,652,596.67,234,372.35,7.26,93,100396
20120601:0900,29.41,23.41,877,857.35,158,381.32,6.73,91,100353
20120601:1000,30.93,21.04,939,733.82,254,390.28,6.2,89,100310
20120601:1100,32.45,18.66,901,532.38,380,399.25,5.67,87,100268
20120601:1200,32.9,19.6,956,676.63,299,402.08,5.43,79,100205
20120601:1300,33.35,20.55,873,623.43,305,404.92,5.19,72,100143
20120601:1400,33.8,21.49,348,16.19,335,407.75,4.95,64,100080
20120601:1500,33.39,22.27,463,221.67,318,403.32,4.78,61,100067
20120601:1600,32.97,23.04,255,77.96,218,398.88,4.6,59,100054
20120601:1700,32.56,23.82,102,18.08,97,394.45,4.43,57,100041
20120601:1800,31.48,25.26,8,0,8,390.58,4.45,58,100090
20120601:1900,30.4,26.69,0,0,0,386.72,4.46,60,100139
20120601:2000,29.32,28.13,0,0,0,382.85,4.48,61,100189
20120601:2100,28.5,28.78,0,0,0,380.57,4.5,68,100179
20120601:2200,27.68,29.42,0,0,0,378.28,4.51,75,100169
20120601:2300,26.86,30.07,0,0,0,376,4.52,81,100159
20120602:0000,26.15,30.97,0,0,0,375.38,4.51,85,100116
20120602:0100,25.43,31.87,0,0,0,374.77,4.51,88,100074
20120602:0200,24.72,32.77,0,0,0,374.15,4.5,92,100031
20120602:0300,24.36,33.6,0,0,0,373.02,4.34,89,100077
20120602:0400,24.01,34.44,0,0,0,371.88,4.18,86,100123
20120602:0500,23.66,35.27,60,83.06,49,370.75,4.03,83,100169
20120602:0600,24.51,33.38,202,155.15,150,374.2,4.5,74,100212
20120602:0700,25.36,31.5,510,740.97,118,377.65,4.97,66,100254
20120602:0800,26.22,29.61,627,533.63,253,381.1,5.43,57,100297
20120602:0900,26.98,26.92,763,542.37,308,388.65,5.18,57,100245
20120602:1000,27.73,24.22,811,446.57,394,396.2,4.93,57,100192
20120602:1100,28.49,21.53,741,260.47,486,403.75,4.68,56,100139
20120602:1200,30.28,20.3,922,609.36,330,402.82,4.64,61,100037
20120602:1300,32.07,19.07,837,548.36,337,401.88,4.6,66,99936
20120602:1400,33.85,17.84,545,177.87,402,400.95,4.57,71,99834
20120602:1500,33.35,18.34,450,201.44,318,397.62,4.84,71,99824
20120602:1600,32.84,18.84,233,52.52,208,394.28,5.12,72,99814
20120602:1700,32.34,19.34,194,294.73,112,390.95,5.39,72,99804
20120602:1800,31.06,20.78,23,26.49,21,385.98,5.25,73,99857
20120602:1900,29.79,22.21,0,0,0,381.02,5.1,73,99909
20120602:2000,28.51,23.65,0,0,0,376.05,4.95,74,99962
20120602:2100,27.65,24.56,0,0,0,371.87,4.63,79,99955
20120602:2200,26.78,25.48,0,0,0,367.68,4.31,85,99949
20120602:2300,25.91,26.39,0,0,0,363.5,3.99,91,99942
20120603:0000,25.14,27.88,0,0,0,359.68,4.13,93,99939
20120603:0100,24.37,29.37,0,0,0,355.87,4.27,95,99936
20120603:0200,23.6,30.86,0,0,0,352.05,4.41,97,99932
20120603:0300,23.41,31.12,0,0,0,349.85,4.35,97,99972
20120603:0400,23.22,31.38,0,0,0,347.65,4.29,98,100011
20120603:0500,23.02,31.64,74,172.84,51,345.45,4.22,98,100051
20120603:0600,25.28,27.36,262,408.19,125,350.47,4.63,98,100067
20120603:0700,27.53,23.09,479,598.82,162,355.48,5.04,98,100083
20120603:0800,29.78,18.81,676,694.61,189,360.5,5.45,98,100100
20120603:0900,31.22,16.8,850,790.1,187,367.97,5.56,97,100051
20120603:1000,32.66,14.8,960,810.45,203,375.43,5.68,96,100001
20120603:1100,34.1,12.79,1009,810.73,215,382.9,5.79,95,99952
20120603:1200,34.28,13.91,1010,836.4,197,386.08,5.45,89,99896
20120603:1300,34.46,15.02,938,816.44,193,389.27,5.11,83,99840
20120603:1400,34.64,16.14,809,776.54,184,392.45,4.77,76,99784
20120603:1500,34.21,16.71,637,722.09,163,389.15,4.88,75,99774
20120603:1600,33.78,17.27,432,618,137,385.85,4.98,74,99765
20120603:1700,33.35,17.84,220,450.33,94,382.55,5.09,73,99755
20120603:1800,31.91,19.55,28,51.79,24,377.73,4.91,70,99811
20120603:1900,30.48,21.27,0,0,0,372.92,4.74,68,99867
20120603:2000,29.04,22.98,0,0,0,368.1,4.57,65,99922
20120603:2100,28.18,23.86,0,0,0,365.22,4.39,69,99916
20120603:2200,27.32,24.74,0,0,0,362.33,4.21,73,99909
20120603:2300,26.46,25.62,0,0,0,359.45,4.03,77,99903
20120604:0000,25.77,26.63,0,0,0,356.47,4.16,75,99896
20120604:0100,25.08,27.63,0,0,0,353.48,4.29,73,99890
20120604:0200,24.4,28.64,0,0,0,350.5,4.43,71,99883
20120604:0300,24.26,29.62,0,0,0,350.73,4.26,72,99916
20120604:0400,24.13,30.61,0,0,0,350.97,4.09,73,99949
20120604:0500,24,31.59,77,194.56,51,351.2,3.92,74,99982
20120604:0600,26.38,28.1,260,392.83,128,357.43,4.4,74,99985
20120604:0700,28.77,24.6,472,566.42,172,363.67,4.87,75,99988
20120604:0800,31.16,21.11,669,670.18,199,369.9,5.35,75,99991
20120604:0900,32.71,18.87,842,762.52,202,376.23,5.21,76,99929
20120604:1000,34.27,16.62,950,782.42,219,382.57,5.08,77,99867
20120604:1100,35.82,14.38,994,767.58,242,388.9,4.94,78,99804
20120604:1200,36.35,14.26,866,484.32,395,391.98,4.77,77,99738
20120604:1300,36.88,14.14,934,802.7,201,395.07,4.61,76,99673
20120604:1400,37.4,14.02,809,776.93,183,398.15,4.44,76,99607
20120604:1500,36.79,14.61,632,698.05,173,393.32,4.17,71,99594
20120604:1600,36.17,15.19,434,618.37,138,388.48,3.9,66,99581
20120604:1700,35.56,15.78,213,391.01,103,383.65,3.63,61,99567
20120604:1800,33.94,17.76,38,139.34,27,380.52,3.88,60,99623
20120604:1900,32.32,19.75,0,0,0,377.38,4.12,58,99679
20120604:2000,30.69,21.73,0,0,0,374.25,4.37,57,99735
20120604:2100,29.84,22.78,0,0,0,371.63,4.34,61,99732
20120604:2200,28.99,23.83,0,0,0,369.02,4.3,66,99728
20120604:2300,28.14,24.88,0,0,0,366.4,4.26,70,99725
20120605:0000,27.45,26.85,0,0,0,364.5,4.43,70,99705
20120605:0100,26.76,28.82,0,0,0,362.6,4.59,71,99686
20120605:0200,26.08,30.79,0,0,0,360.7,4.76,71,99666
20120605:0300,25.93,31.71,0,0,0,358.18,4.56,73,99682
20120605:0400,25.78,32.63,0,0,0,355.67,4.35,74,99699
20120605:0500,25.64,33.55,84,268.41,48,353.15,4.15,76,99715
20120605:0600,28.17,29.38,260,392.46,128,358.2,3.98,79,99728
20120605:0700,30.71,25.22,504,711.52,127,363.25,3.8,82,99742
20120605:0800,33.25,21.05,662,645.8,209,368.3,3.63,85,99755
20120605:0900,34.9,18.43,842,762.39,202,376.47,3.22,87,99709
20120605:1000,36.56,15.81,955,796.17,211,384.63,2.82,89,99663
20120605:1100,38.21,13.19,1009,810.2,215,392.8,2.41,91,99617
20120605:1200,38.58,13.1,980,752.34,248,397.63,2.4,70,99577
20120605:1300,38.95,13.01,925,774.77,217,402.47,2.4,49,99538
20120605:1400,39.32,12.92,765,636,252,407.3,2.39,28,99498
20120605:1500,38.71,13.34,610,616.43,204,402.1,2.76,29,99492
20120605:1600,38.11,13.75,382,391.68,194,396.9,3.13,31,99485
20120605:1700,37.5,14.17,232,512.69,87,391.7,3.5,32,99479
20120605:1800,35.71,16.04,23,12.41,22,388.77,3.29,44,99528
20120605:1900,33.92,17.92,0,0,0,385.83,3.07,55,99577
20120605:2000,32.12,19.79,0,0,0,382.9,2.86,66,99627
20120605:2100,31.19,21.85,0,0,0,380.13,3.04,77,99643
20120605:2200,30.26,23.91,0,0,0,377.37,3.22,87,99659
20120605:2300,29.33,25.97,0,0,0,374.6,3.41,97,99676
20120606:0000,28.15,29.24,0,0,0,370.42,4.55,92,99676
20120606:0100,26.97,32.5,0,0,0,366.23,5.69,86,99676
20120606:0200,25.8,35.77,0,0,0,362.05,6.83,81,99676
20120606:0300,25.57,38.84,0,0,0,359.63,6.3,77,99728
20120606:0400,25.34,41.9,0,0,0,357.22,5.78,72,99781
20120606:0500,25.11,44.97,87,289.9,48,354.8,5.26,68,99834
20120606:0600,26.87,41.2,266,424.84,123,360.85,5.69,65,99876
20120606:0700,28.62,37.44,482,609.43,159,366.9,6.13,62,99919
20120606:0800,30.38,33.67,676,694.17,189,372.95,6.57,60,99962
20120606:0900,31.98,29.82,854,803.98,179,383,6.21,60,99936
20120606:1000,33.58,25.98,964,823.84,194,393.05,5.86,60,99909
20120606:1100,35.18,22.13,1015,824.25,207,403.1,5.5,60,99883
20120606:1200,35.95,21,1016,851.65,187,406.92,4.84,62,99830
20120606:1300,36.72,19.88,949,845.32,176,410.73,4.17,64,99778
20120606:1400,37.49,18.75,815,790.14,177,414.55,3.5,66,99725
20120606:1500,37.1,19.29,647,748.83,153,411.83,3.45,64,99715
20120606:1600,36.72,19.82,439,631.69,135,409.12,3.4,62,99705
20120606:1700,36.33,20.36,222,429.15,100,406.4,3.35,59,99696
20120606:1800,34.7,22.88,32,60.82,27,401.28,3.35,65,99742
20120606:1900,33.07,25.4,0,0,0,396.17,3.35,71,99788
20120606:2000,31.44,27.92,0,0,0,391.05,3.35,77,99834
20120606:2100,30.54,29.79,0,0,0,387.75,4,85,99827
20120606:2200,29.64,31.65,0,0,0,384.45,4.65,94,99820
20120606:2300,28.74,33.52,0,0,0,381.15,5.3,102,99814
20120607:0000,27.73,36.29,0,0,0,376.78,5.29,104,99827
20120607:0100,26.73,39.05,0,0,0,372.42,5.28,106,99840
20120607:0200,25.73,41.82,0,0,0,368.05,5.27,107,99853
20120607:0300,25.4,42,0,0,0,365.52,5.2,108,99890
20120607:0400,25.08,42.17,0,0,0,362.98,5.12,110,99926
20120607:0500,24.75,42.35,81,229.87,50,360.45,5.05,111,99962
20120607:0600,26.72,37.34,269,439.45,121,365.7,4.99,110,99975
20120607:0700,28.68,32.33,482,609.33,159,370.95,4.94,110,99988
20120607:0800,30.65,27.32,676,694.12,189,376.2,4.88,110,100001
20120607:0900,32.46,24.24,850,789.63,187,385.83,4.52,112,99949
20120607:1000,34.26,21.15,964,823.73,194,395.47,4.17,115,99896
20120607:1100,36.07,18.07,1015,824.03,207,405.1,3.81,117,99844
20120607:1200,36.61,17.69,1017,851.29,188,408.82,3.42,110,99807
20120607:1300,37.15,17.31,940,816.34,193,412.53,3.03,102,99771
20120607:1400,37.68,16.93,804,749.75,198,416.25,2.65,95,99735
20120607:1500,37.36,17.35,609,605.39,209,412.05,2.51,87,99715
20120607:1600,37.04,17.77,446,665.3,125,407.85,2.38,78,99696
20120607:1700,36.72,18.19,199,287.01,117,403.65,2.25,70,99676
20120607:1800,35.06,20.08,34,71.62,28,400.25,2.46,72,99705
20120607:1900,33.41,21.96,0,0,0,396.85,2.68,74,99735
20120607:2000,31.75,23.85,0,0,0,393.45,2.9,76,99765
20120607:2100,30.93,24.73,0,0,0,389.47,3.37,85,99745
20120607:2200,30.1,25.61,0,0,0,385.48,3.83,93,99725
20120607:2300,29.28,26.49,0,0,0,381.5,4.3,102,99705
20120608:0000,28.68,27.7,0,0,0,377.72,4.44,106,99696
20120608:0100,28.08,28.91,0,0,0,373.93,4.57,110,99686
20120608:0200,27.48,30.12,0,0,0,370.15,4.7,114,99676
20120608:0300,27.34,30.37,0,0,0,367.88,4.55,118,99682
20120608:0400,27.21,30.63,0,0,0,365.62,4.4,122,99689
20120608:0500,27.08,30.88,79,207.24,51,363.35,4.25,126,99696
20120608:0600,29.58,26.95,291,575.83,97,368.85,4.35,129,99699
20120608:0700,32.08,23.02,485,620.6,156,374.35,4.45,132,99702
20120608:0800,34.59,19.09,680,706.95,184,379.85,4.55,134,99705
20120608:0900,36.4,16.54,854,803.89,179,388.98,4.75,139,99653
20120608:1000,38.2,13.99,964,823.64,194,398.12,4.95,144,99600
20120608:1100,40.01,11.44,1004,795.29,224,407.25,5.14,149,99548
20120608:1200,40.74,10.71,1007,822.2,206,412.77,5.04,154,99469
20120608:1300,41.47,9.98,912,733.91,240,418.28,4.93,159,99390
20120608:1400,42.2,9.25,759,611.82,264,423.8,4.83,164,99311
20120608:1500,41.39,9.62,57,0,57,419.05,4.62,157,99281
20120608:1600,40.58,9.98,162,4.13,160,414.3,4.41,151,99252
20120608:1700,39.77,10.35,111,20.9,105,409.55,4.21,144,99222
20120608:1800,37.92,11.6,15,0,15,405.78,4.58,138,99258
20120608:1900,36.08,12.85,0,0,0,402.02,4.96,133,99295
20120608:2000,34.23,14.1,0,0,0,398.25,5.34,127,99331
20120608:2100,33.39,14.73,0,0,0,395.35,5.43,130,99318
20120608:2200,32.54,15.35,0,0,0,392.45,5.52,132,99304
20120608:2300,31.7,15.98,0,0,0,389.55,5.61,135,99291
20120609:0000,30.39,16.92,0,0,0,383.15,5.79,149,99308
20120609:0100,29.09,17.87,0,0,0,376.75,5.96,162,99324
20120609:0200,27.78,18.81,0,0,0,370.35,6.14,176,99341
20120609:0300,27.55,18.64,0,0,0,368.2,5.83,180,99364
20120609:0400,27.31,18.48,0,0,0,366.05,5.52,185,99387
20120609:0500,27.07,18.31,87,288.28,48,363.9,5.21,189,99410
20120609:0600,30.01,15.6,256,370.96,131,368.92,5.35,195,99423
20120609:0700,32.95,12.88,472,565.92,172,373.93,5.49,202,99436
20120609:0800,35.9,10.17,715,843.83,123,378.95,5.63,208,99449
20120609:0900,37.84,8.71,832,736.02,214,387.93,4.91,216,99400
20120609:1000,39.77,7.24,969,838.55,185,396.92,4.18,225,99350
20120609:1100,41.71,5.78,1004,795.13,224,405.9,3.46,233,99301
20120609:1200,42.27,5.5,981,752.12,248,409.3,4.1,233,99242
20120609:1300,42.83,5.21,908,720.36,248,412.7,4.74,232,99183
20120609:1400,43.38,4.93,776,660.62,241,416.1,5.38,232,99124
20120609:1500,42.41,5.2,650,749.94,153,410.5,5.13,230,99101
20120609:1600,41.44,5.48,382,377.42,199,404.9,4.88,228,99078
20120609:1700,40.47,5.75,238,520.08,88,399.3,4.63,226,99055
20120609:1800,38.17,6.72,34,69.17,28,394.55,4.48,220,99084
20120609:1900,35.87,7.69,0,0,0,389.8,4.32,214,99114
20120609:2000,33.57,8.66,0,0,0,385.05,4.17,209,99143
20120609:2100,32.66,9.02,0,0,0,385.15,4.65,210,99130
20120609:2200,31.74,9.37,0,0,0,385.25,5.14,212,99117
20120609:2300,30.83,9.73,0,0,0,385.35,5.63,214,99104
20120610:0000,30.01,10.25,0,0,0,383.17,5.67,223,99137
20120610:0100,29.2,10.76,0,0,0,380.98,5.72,232,99170
20120610:0200,28.39,11.28,0,0,0,378.8,5.77,241,99202
20120610:0300,27.9,12.91,0,0,0,378.02,5.3,257,99239
20120610:0400,27.42,14.53,0,0,0,377.23,4.84,273,99275
20120610:0500,26.93,16.16,84,258.51,49,376.45,4.37,289,99311
20120610:0600,28.82,15.78,253,356.14,133,378.28,5.08,302,99347
20120610:0700,30.71,15.41,459,515.07,186,380.12,5.78,315,99383
20120610:0800,32.6,15.03,658,634.38,213,381.95,6.48,329,99419
20120610:0900,34.26,13.69,836,749.17,207,389.45,5.92,329,99380
20120610:1000,35.93,12.34,939,754.01,234,396.95,5.36,329,99341
20120610:1100,37.59,11,984,739.94,258,404.45,4.8,329,99301
20120610:1200,38.52,10.7,976,737.48,257,404.13,4.86,331,99301
20120610:1300,39.45,10.39,913,734.11,240,403.82,4.92,333,99301
20120610:1400,40.38,10.09,802,737.73,204,403.5,4.98,335,99301
