time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130330:0200,16.71,40.09,0,0,0,319.8,3.92,308,99824
20130330:0300,16.34,42.9,0,0,0,320.3,4.08,308,99824
20130330:0400,15.96,45.72,0,0,0,320.8,4.25,309,99824
20130330:0500,15.59,48.53,0,0,0,321.3,4.41,309,99824
20130330:0600,17.77,42.61,42,6.68,41,324.18,4.84,308,99844
20130330:0700,19.94,36.68,342,707.11,87,327.07,5.27,307,99863
20130330:0800,22.12,30.76,445,358.62,248,329.95,5.7,305,99883
20130330:0900,23.53,27.82,727,793.69,169,335.13,5.96,302,99814
20130330:1000,24.93,24.87,864,852.97,172,340.32,6.22,298,99745
20130330:1100,26.33,21.93,964,974.99,119,345.5,6.48,294,99676
20130330:1200,26.39,22.99,880,716.39,260,348.4,7.61,294,99604
20130330:1300,26.45,24.06,372,19.81,356,351.3,8.74,293,99531
20130330:1400,26.5,25.12,254,2.87,252,354.2,9.88,293,99459
20130330:1500,25.76,28.16,427,321.11,253,361.8,8.08,297,99479
20130330:1600,25.02,31.2,269,329.6,153,369.4,6.28,302,99498
20130330:1700,24.27,34.24,72,113.91,56,377,4.48,306,99518
20130330:1800,23.32,36.8,0,0,0,372.72,4.26,310,99600
20130330:1900,22.37,39.35,0,0,0,368.43,4.03,314,99682
20130330:2000,21.42,41.91,0,0,0,364.15,3.81,318,99765
20130330:2100,20.5,43.91,0,0,0,354.62,4.04,322,99791
20130330:2200,19.57,45.92,0,0,0,345.08,4.28,327,99817
20130330:2300,18.64,47.92,0,0,0,335.55,4.51,331,99844
20130331:0000,17.95,51.04,0,0,0,331.47,4.46,329,99817
20130331:0100,17.26,54.15,0,0,0,327.38,4.42,327,99791
20130331:0200,16.57,57.27,0,0,0,323.3,4.37,325,99765
20130331:0300,15.78,59.38,0,0,0,319.48,4.21,324,99784
20130331:0400,14.99,61.5,0,0,0,315.67,4.05,323,99804
20130331:0500,14.2,63.61,0,0,0,311.85,3.89,321,99824
20130331:0600,15.71,55.66,43,6.47,42,315.18,3.52,317,99853
20130331:0700,17.22,47.71,262,260.12,167,318.52,3.15,313,99883
20130331:0800,18.73,39.76,576,861.51,99,321.85,2.79,309,99913
20130331:0900,20.1,34.77,770,948.95,99,326.12,3.17,297,99863
20130331:1000,21.46,29.78,883,903.04,147,330.38,3.56,285,99814
20130331:1100,22.82,24.79,865,659.69,291,334.65,3.94,272,99765
20130331:1200,23.8,24.4,971,992.43,109,336.08,5.09,272,99699
20130331:1300,24.79,24,904,998.09,95,337.52,6.24,272,99633
20130331:1400,25.77,23.61,638,512.88,279,338.95,7.39,272,99567
20130331:1500,25.28,25.46,565,856.01,99,338.68,5.98,271,99544
20130331:1600,22.8,33.53,272,338.6,152,343.13,3.43,269,99521
20130331:1700,22.44,34.21,75,118.93,58,342.13,3.44,268,99498
20130331:1800,22.08,34.89,0,0,0,341.14,3.44,250,99534
20130331:1900,21.72,35.57,0,0,0,340.14,3.45,233,99571
20130331:2000,21.36,36.25,0,0,0,339.15,3.45,215,99607
20130331:2100,20.99,36.93,0,0,0,338.15,3.46,207,99574
20130331:2200,20.63,37.61,0,0,0,337.16,3.46,199,99541
20130331:2300,20.27,38.29,0,0,0,336.16,3.47,191,99508
20130401:0000,19.91,38.97,0,0,0,335.17,3.48,181,99449
20130401:0100,19.55,39.65,0,0,0,334.17,3.48,172,99390
20130401:0200,19.19,40.33,0,0,0,333.18,3.49,162,99331
20130401:0300,18.83,41.01,0,0,0,332.19,3.49,162,99304
20130401:0400,18.47,41.69,0,0,0,331.19,3.5,161,99278
20130401:0500,18.11,42.37,0,0,0,330.2,3.5,161,99252
20130401:0600,17.74,43.05,87,138.11,65,329.2,3.51,171,99222
20130401:0700,17.38,43.73,347,681.51,95,328.21,3.51,180,99193
20130401:0800,24.02,26.21,574,833.36,109,330.25,3.42,190,99163
20130401:0900,25.87,23.08,729,773.44,179,334.9,3.2,206,99068
20130401:1000,27.71,19.95,851,785.37,208,339.55,2.97,222,98972
20130401:1100,29.56,16.82,918,804.83,215,344.2,2.74,237,98877
20130401:1200,30.08,17.79,900,758.33,239,348.23,3.08,247,98788
20130401:1300,30.61,18.76,821,710.63,243,352.27,3.41,257,98700
20130401:1400,31.13,19.73,711,741.55,190,356.3,3.74,267,98611
20130401:1500,29.89,22.51,515,616.23,178,353.33,4.26,283,98630
20130401:1600,28.66,25.3,307,510.05,125,350.37,4.78,300,98650
20130401:1700,27.42,28.08,70,89.4,57,347.4,5.3,316,98670
20130401:1800,26.18,29.29,0,0,0,341.6,5.32,325,98778
20130401:1900,24.94,30.49,0,0,0,335.8,5.35,333,98887
20130401:2000,23.69,31.7,0,0,0,330,5.38,342,98995
20130401:2100,22.39,32.26,0,0,0,329.25,5.72,343,99061
20130401:2200,21.09,32.82,0,0,0,328.5,6.07,344,99127
20130401:2300,19.79,33.38,0,0,0,327.75,6.41,345,99193
20130402:0000,18.91,34.32,0,0,0,326.57,6.07,347,99202
20130402:0100,18.03,35.27,0,0,0,325.38,5.73,349,99212
20130402:0200,17.15,36.21,0,0,0,324.2,5.39,351,99222
20130402:0300,16.33,35.18,0,0,0,319.52,5.58,347,99275
20130402:0400,15.51,34.14,0,0,0,314.83,5.76,343,99327
20130402:0500,14.68,33.11,0,0,0,310.15,5.94,339,99380
20130402:0600,15.83,29.25,72,54.88,63,310.1,6.53,338,99442
20130402:0700,16.97,25.38,50,0,50,310.05,7.11,337,99505
20130402:0800,18.12,21.52,116,0,116,310,7.7,336,99567
20130402:0900,19.21,20.16,460,130.06,367,314.63,7.16,332,99544
20130402:1000,20.29,18.8,586,190.91,429,319.27,6.62,328,99521
20130402:1100,21.38,17.44,207,0,207,323.9,6.08,323,99498
20130402:1200,22.09,16.55,867,658.53,291,321.67,6.25,316,99488
20130402:1300,22.81,15.67,776,577.11,305,319.43,6.42,308,99479
20130402:1400,23.52,14.78,693,672.19,219,317.2,6.59,300,99469
20130402:1500,22.79,15.27,503,557.05,197,312.3,5.66,303,99511
20130402:1600,22.06,15.76,295,434.25,139,307.4,4.73,306,99554
20130402:1700,21.33,16.25,70,81.16,58,302.5,3.79,309,99597
20130402:1800,19.78,17.82,0,0,0,298.78,4.05,315,99676
20130402:1900,18.23,19.4,0,0,0,295.07,4.3,321,99755
20130402:2000,16.68,20.97,0,0,0,291.35,4.55,327,99834
20130402:2100,15.81,23.11,0,0,0,287.83,4.18,336,99870
20130402:2200,14.94,25.26,0,0,0,284.32,3.82,345,99906
20130402:2300,14.07,27.4,0,0,0,280.8,3.45,354,99942
20130403:0000,13.4,29.89,0,0,0,278.32,3.35,348,99939
20130403:0100,12.73,32.37,0,0,0,275.83,3.25,342,99936
20130403:0200,12.05,34.86,0,0,0,273.35,3.14,335,99932
20130403:0300,11.45,38.32,0,0,0,273.25,2.88,346,99949
20130403:0400,10.85,41.78,0,0,0,273.15,2.61,356,99965
20130403:0500,10.25,45.24,0,0,0,273.05,2.34,7,99982
20130403:0600,12.62,39.9,112,278.61,65,277.27,1.76,28,100001
20130403:0700,15,34.55,324,493.71,137,281.48,1.18,49,100021
20130403:0800,17.37,29.21,527,587.87,194,285.7,0.59,70,100041
20130403:0900,18.95,25.47,709,675.95,223,290.17,1.19,107,99982
20130403:1000,20.54,21.72,839,727.65,238,294.63,1.79,144,99922
20130403:1100,22.12,17.98,899,730.63,256,299.1,2.39,181,99863
20130403:1200,23,17.03,880,687.07,277,301.08,3.02,180,99761
20130403:1300,23.88,16.07,797,628.93,282,303.07,3.66,180,99659
20130403:1400,24.76,15.12,688,645.76,231,305.05,4.29,180,99558
20130403:1500,24.12,15.59,496,523.8,207,303.12,4.51,175,99498
20130403:1600,23.48,16.07,300,445.22,139,301.18,4.74,171,99439
20130403:1700,22.84,16.54,67,66.53,57,299.25,4.97,167,99380
20130403:1800,21.91,17.14,0,0,0,298.5,4.97,164,99390
20130403:1900,20.98,17.73,0,0,0,297.75,4.97,160,99400
20130403:2000,20.04,18.33,0,0,0,297,4.97,157,99410
20130403:2100,19.76,17.77,0,0,0,297.03,5.7,158,99331
20130403:2200,19.48,17.2,0,0,0,297.07,6.43,158,99252
20130403:2300,19.2,16.64,0,0,0,297.1,7.16,159,99173
20130404:0000,19.29,15.88,0,0,0,298.9,7.66,164,99074
20130404:0100,19.39,15.12,0,0,0,300.7,8.15,170,98976
20130404:0200,19.48,14.36,0,0,0,302.5,8.65,175,98877
20130404:0300,19.24,14.47,0,0,0,304.85,8.07,183,98841
20130404:0400,19,14.57,0,0,0,307.2,7.5,190,98805
20130404:0500,18.76,14.68,0,0,0,309.55,6.92,197,98769
20130404:0600,20.86,13.47,116,276.9,68,314.65,7.37,206,98778
20130404:0700,22.97,12.27,325,477.56,142,319.75,7.82,214,98788
20130404:0800,25.07,11.06,531,588.83,195,324.85,8.26,222,98798
20130404:0900,26.49,10.68,717,691.72,217,330.8,8.49,226,98746
20130404:1000,27.92,10.3,853,758.3,224,336.75,8.72,229,98693
20130404:1100,29.34,9.92,944,854.77,189,342.7,8.95,232,98640
20130404:1200,29.78,9.71,936,836.96,199,345.15,9.87,233,98565
20130404:1300,30.22,9.5,858,800.95,200,347.6,10.79,233,98489
20130404:1400,30.66,9.29,735,801.2,166,350.05,11.71,233,98414
20130404:1500,29.63,9.83,519,606.36,183,346.4,11,236,98423
20130404:1600,28.59,10.38,327,587.93,113,342.75,10.29,238,98433
20130404:1700,27.56,10.92,57,26.19,53,339.1,9.57,240,98443
20130404:1800,26.16,12.02,0,0,0,334.53,9.05,245,98535
20130404:1900,24.77,13.12,0,0,0,329.97,8.53,250,98627
20130404:2000,23.37,14.22,0,0,0,325.4,8.01,255,98719
20130404:2100,21.96,17.73,0,0,0,319.92,7.26,267,98788
20130404:2200,20.55,21.25,0,0,0,314.43,6.51,279,98857
